source_id,target_id,similarity
BigCodeBench/561,BigCodeBench/1074,0.8973449
BigCodeBench/561,BigCodeBench/1107,0.74455154
BigCodeBench/561,BigCodeBench/626,0.6901014
BigCodeBench/561,BigCodeBench/647,0.6817893
BigCodeBench/561,BigCodeBench/485,0.5565467
BigCodeBench/986,BigCodeBench/987,0.64607656
BigCodeBench/986,BigCodeBench/743,0.6169375
BigCodeBench/986,BigCodeBench/525,0.5199571
BigCodeBench/986,BigCodeBench/158,0.51293075
BigCodeBench/986,BigCodeBench/202,0.4933393
BigCodeBench/133,BigCodeBench/742,0.6946918
BigCodeBench/133,BigCodeBench/156,0.6591395
BigCodeBench/133,BigCodeBench/134,0.61291695
BigCodeBench/133,BigCodeBench/140,0.571144
BigCodeBench/133,BigCodeBench/151,0.5575634
BigCodeBench/307,BigCodeBench/366,0.6302773
BigCodeBench/307,BigCodeBench/311,0.6083957
BigCodeBench/307,BigCodeBench/194,0.5911802
BigCodeBench/307,BigCodeBench/22,0.5537238
BigCodeBench/307,BigCodeBench/462,0.5530024
BigCodeBench/649,BigCodeBench/497,0.6853795
BigCodeBench/649,BigCodeBench/646,0.47503853
BigCodeBench/649,BigCodeBench/88,0.42934334
BigCodeBench/649,BigCodeBench/648,0.42696267
BigCodeBench/649,BigCodeBench/491,0.4092945
BigCodeBench/222,BigCodeBench/966,0.57937634
